
create table deneme (
	id INTEGER,
	first_name VARCHAR(50),
	last_name VARCHAR(50),
	email VARCHAR(100),
	gender VARCHAR(50)
)

insert into deneme (id, first_name, last_name, email, gender) values (1, 'Keary', 'Chivrall', 'kchivrall0@amazon.co.jp', 'Male');
insert into deneme (id, first_name, last_name, email, gender) values (2, 'Raviv', 'Pennino', 'rpennino1@about.com', 'Male');
insert into deneme (id, first_name, last_name, email, gender) values (3, 'Henka', 'Grise', 'hgrise2@usgs.gov', 'Female');
insert into deneme (id, first_name, last_name, email, gender) values (4, 'Chas', 'Elwel', 'celwel3@shinystat.com', 'Male');
insert into deneme (id, first_name, last_name, email, gender) values (5, 'Phyllida', 'Dupree', 'pdupree4@ameblo.jp', 'Female');
insert into deneme (id, first_name, last_name, email, gender) values (6, 'Garnette', 'Staniford', 'gstaniford5@nsw.gov.au', 'Female');
insert into deneme (id, first_name, last_name, email, gender) values (7, 'Lauryn', 'Lockey', 'llockey6@tiny.cc', 'Female');
insert into deneme (id, first_name, last_name, email, gender) values (8, 'Jilli', 'Eldredge', 'jeldredge7@hud.gov', 'Female');
insert into deneme (id, first_name, last_name, email, gender) values (9, 'Maurise', 'De Mattei', 'mdemattei8@reverbnation.com', 'Male');
insert into deneme (id, first_name, last_name, email, gender) values (10, 'Alina', 'Pinnigar', 'apinnigar9@gizmodo.com', 'Female');
insert into deneme (id, first_name, last_name, email, gender) values (11, 'Monro', 'Boays', 'mboaysa@cnbc.com', 'Male');
insert into deneme (id, first_name, last_name, email, gender) values (12, 'Winonah', 'Cabbell', 'wcabbellb@phpbb.com', 'Female');
insert into deneme (id, first_name, last_name, email, gender) values (13, 'Roxie', 'Bounde', 'rboundec@cmu.edu', 'Female');
insert into deneme (id, first_name, last_name, email, gender) values (14, 'Evyn', 'Sweeting', 'esweetingd@w3.org', 'Male');
insert into deneme (id, first_name, last_name, email, gender) values (15, 'Karlis', 'Kinker', 'kkinkere@psu.edu', 'Male');
insert into deneme (id, first_name, last_name, email, gender) values (16, 'Dale', 'Paddell', 'dpaddellf@ycombinator.com', 'Female');
insert into deneme (id, first_name, last_name, email, gender) values (17, 'Fanechka', 'Barbery', 'fbarberyg@ed.gov', 'Female');
insert into deneme (id, first_name, last_name, email, gender) values (18, 'Grange', 'Clines', 'gclinesh@soup.io', 'Male');
insert into deneme (id, first_name, last_name, email, gender) values (19, 'Vonny', 'Pre', 'vprei@blogspot.com', 'Non-binary');
